Player,Dim_1,Dim_2,Dim_3,Dim_4,Dim_5,Dim_6,Dim_7,Dim_8,Dim_9,Dim_10,Dim_11,Dim_12,Dim_13,Dim_14,Dim_15,Dim_16
Daniel Ceballos Fernández,-0.55369145,-0.09554416,0.0032594174,0.19117476,-0.07987661,-0.2943457,-0.020160668,0.045984223,-0.0443458,0.09042351,0.16574933,0.24240945,-0.007318567,-0.14594828,-0.113932915,-0.48580864
Daniel Filipe Martins Carriço,-0.25726065,-0.006167283,-0.024077693,-0.20270273,0.013454154,0.23774557,0.0035371238,0.00434115,-0.011749862,0.027659167,0.0050465846,8.9143e-05,-0.0071048522,-0.050364118,0.6989595,0.25874928
Daniel García Carrillo,0.4970352,0.030039491,-0.006887662,0.08421029,0.046181563,-0.52510166,0.002798571,-0.03485085,0.009488687,0.01941579,-0.0066838,-0.062061556,-0.011232404,-0.043560304,0.44103318,-0.53256154
Daniel Parejo Muñoz,0.22268103,-0.00840868,-0.0061456743,-0.23526183,-0.014764851,0.044970226,-0.0065542907,-0.011101618,-0.0010943463,-0.044016343,-0.038270965,-0.06832118,-0.015745593,0.04150696,0.068814345,-1.075777
Daniel Wass,0.2838682,0.06440915,0.019412706,-0.14757536,0.0148409875,-0.203308,0.014526665,0.025231965,-0.009798817,-0.057542365,-0.23973645,-0.10225323,0.00015044004,0.23986912,-0.042544704,-0.6030825
Daniele Bonera,-0.3688252,0.00034667127,-0.014241783,-0.54544723,0.011746,-0.053121936,0.006913263,-0.027349332,0.0035906807,0.048760645,0.055901926,0.02178253,0.004052319,-0.08322599,0.8260837,0.3749341
Danilo Barbosa da Silva,-0.2974225,-0.05993016,-0.0039929035,0.007333627,-0.026328733,-0.5212502,-0.01668872,0.009590336,-0.013612914,0.038822312,0.2160573,0.13761613,-0.0037728779,-0.15799043,-0.30428565,-0.07067607
Danilo Luiz da Silva,-0.0648789,0.05222602,0.016208269,-0.14820917,0.014040839,0.10100922,0.003358246,0.044042166,-0.00818421,-0.048691537,-0.17294568,-0.06926623,0.005715745,0.21323796,0.71559834,-1.0453788
David Barral Torres,0.035128456,0.023641706,0.06915201,-0.69126725,-0.04842322,-0.04028429,0.051934887,0.046350926,-0.11056604,0.03339882,0.105010696,0.3320711,0.017656095,0.07651388,-0.9290957,0.7770031
David García Santana,0.16508177,0.04430769,-0.012808356,-0.21277629,0.043215103,-0.0337512,-0.00016592923,-0.042113595,0.019736424,-0.06805504,0.010541641,-0.1948002,0.0054117218,-0.009387002,0.95866704,-0.32829744
David Juncà Reñé,0.1959858,-0.021223761,0.0017238591,0.59232813,-0.0034643211,-0.20327361,0.0036100943,0.018472092,-0.009564344,0.08180601,-0.102737375,0.0004526415,-0.025099723,0.041840777,0.14795177,-0.07661718
David Navarro Pedrós,0.16911384,-0.023215678,-0.0058265887,-0.255891,-0.01465413,0.10753937,0.01321401,-0.021381179,-0.029247265,0.027867446,0.16969483,0.151089,0.0037046752,-0.13297594,0.79264003,0.46676844
David Rodríguez Lombán,0.12882847,-0.026243165,0.0024192838,-0.2709918,-0.011820045,-0.08376169,0.0004164705,-0.013813339,-0.016478075,-0.01274335,0.07729686,0.00903525,-0.0035657932,-0.044464577,0.96872467,0.48068145
David Simón Rodríguez Santana,0.039650183,-0.00806921,-0.025535226,0.030601121,0.012620614,-0.5029868,-0.0034854617,-0.026187262,0.022046594,0.0155236665,-0.07176825,-0.10055662,-0.008906228,0.011033488,0.30088136,-0.60511726
David Zurutuza Veillet,-0.286091,-0.065657385,-0.011589307,0.41867226,-0.03508222,0.11810381,-0.0013868165,0.08869742,-0.031699114,0.0094855605,0.029850395,0.1491861,0.0053063896,0.024748148,-0.0639428,-0.6236108
Denis Suárez Fernández,-0.14802389,-0.050224006,-0.024292856,0.47652814,-0.020856833,-0.18356761,-0.0179123,-0.009732082,0.00867088,0.05701083,0.0519893,-0.001703227,-0.020876413,-0.09468895,-0.50892895,-0.35301217
Deyverson Brum Silva Acosta,0.8309357,0.04884953,0.014968023,0.30721846,0.031711306,0.4912476,-0.014541378,-0.09418893,0.05378022,0.019644437,0.014615867,-0.040308062,-0.0113246115,-0.075803846,-1.0917598,0.07806584
Diego Alves Carreira,0.12506793,0.025211452,-0.022118632,-0.11990114,0.0008139731,0.3658923,0.020454675,0.055341862,-0.03305783,-0.20406896,-0.14449461,-0.05314978,0.02085499,0.10153629,0.8618186,1.8309269
Diego Antonio Reyes Rosales,0.14202462,-0.026043963,0.0024104936,-0.034777265,-0.020417187,0.1628537,-0.0007636965,-0.022451285,-0.03507848,0.047004566,0.24472497,0.16696873,0.018655058,-0.20537108,0.83571637,-0.023033783
Diego Javier Llorente Ríos,0.21663558,-0.027346075,-0.0111321425,-0.031023134,-0.020107292,-0.06791166,-0.0045873253,-0.01897676,-0.0008615831,0.02094669,0.16838025,0.09547643,-0.002018952,-0.15140148,0.65663487,-0.3325801
Diego Mariño Villar,-0.22622351,0.020290896,0.0009826699,-0.15613994,0.031012421,-0.036492843,-0.008164715,0.079876624,-0.030352807,-0.12475162,-0.21806918,-0.14967528,0.018034669,0.10212128,1.0146377,1.551506
Diego Roberto Godín Leal,0.34603658,0.0013365779,0.014305032,-0.07654241,0.0010601677,0.012988363,0.009999127,-0.019414289,-0.007274713,0.004498163,0.08508315,0.034271874,-0.0027495483,-0.025118986,0.6637365,0.118079856
Dimitri Foulquier,0.07629956,-0.11637538,-0.009669148,0.2709491,-0.056773845,0.040228136,-0.00080246426,-0.011187469,-0.03152199,0.09520169,0.2679076,0.2331664,-0.012177036,-0.21097817,0.21954657,0.20291229
Duje Čop,0.40347284,0.040943604,0.007529988,-0.009748143,0.009588381,-0.050845895,-0.0076731285,-0.028413517,0.029406058,-0.033062495,-0.012821669,-0.054080598,0.0059222407,0.017731912,-0.88492113,0.03372639
Edgar Antonio Méndez Ortega,0.12758043,0.042019013,0.011597905,0.55337787,0.039400283,-0.025057996,-0.03616393,-0.10461305,0.082764655,0.15185376,0.10366466,-0.02825341,-0.003923344,-0.20172125,-0.6135716,0.6115805
Emiliano Buendía,-0.3647084,0.0103232525,0.04566789,-0.23856193,-0.024752423,-0.12296968,0.010689748,0.014913552,-0.025568625,0.047445204,0.090282515,0.15426591,0.0016287067,-0.03811161,-0.11919933,0.33859566
Emiliano Daniel Velázquez Maldonado,0.5460958,-0.032460555,-0.009057692,0.46675503,0.010624596,0.51910836,-0.02823969,-0.057118714,0.03650916,-0.008797562,0.19700943,-0.080392614,-0.018304931,-0.1944291,0.54167753,0.19142467
Eneko Bóveda Altube,0.18825164,-0.00075061974,-0.020479606,0.329727,0.030789923,0.03438666,-0.008755958,-0.052709915,0.017844945,0.069463596,0.14704536,0.08543178,0.0066687143,-0.19694176,0.66864413,-0.048445724
Enzo Nicolás Pérez,-0.17978565,-0.053163327,0.0058630225,-0.46121812,-0.055006016,-0.460987,-0.006002783,0.022014374,-0.030208474,0.016550308,0.15784557,0.18879879,0.0016070257,-0.11048263,0.2831503,-0.1564765
Enzo Pablo Roco Roco,-0.056614973,-0.027961237,-0.010197606,-0.2582368,0.0071601477,0.026893994,-0.008774043,-0.024854267,0.0036252562,0.03350079,0.13124323,0.016123952,-0.0045317127,-0.13616839,0.7359388,0.29653293
Eric Bertrand Bailly,0.01395787,-0.025596574,-0.0025377227,-0.036148157,-0.005435858,-0.04236194,-0.00785597,-0.020543663,-0.002014733,0.06409533,0.14709786,0.11031505,0.0023383433,-0.14832753,0.68886,0.39159894
Esteban Félix Granero Molina,0.03949303,0.007418097,0.0054244027,-0.04115704,-0.0014098249,-0.47057328,-0.0056516156,-0.012559747,-0.003755735,0.012853141,0.05562573,1.4635069e-05,-0.012100397,-0.060741503,0.16580774,-0.16974792
Fabián Ariel Orellana Valenzuela,-0.6039264,-0.092117414,-0.0088903215,0.5964549,-0.065886885,0.38198832,-0.009606213,0.018271362,-0.04063491,0.14467147,0.16870666,0.2020248,-0.00046827542,-0.15158582,-0.90799403,-1.4047067
Fabián Ruiz Peña,-0.4526457,-0.026043085,0.026304584,-0.26229328,-0.05158024,-0.35131806,-0.0069091427,0.05271943,-0.037611935,0.034123655,-0.02052965,0.11482492,-0.0102291815,0.05785217,-0.24372777,0.3917695
Fayçal Fajr,-0.04292794,0.03179253,-0.030024514,-0.12535354,0.04099126,-0.3826983,-0.023187423,-0.03125717,0.05425637,-0.08656989,-0.033999156,-0.24930467,-0.0074049165,0.031084767,0.032480042,-0.5089041
Federico Nicolás Cartabia,-0.20832801,-0.016790055,0.039276488,-0.06406189,-0.035430267,0.07597092,0.016089281,0.058286514,-0.05107747,0.0112451725,0.021577356,0.12457585,-0.00026735192,0.071598426,-0.724986,-0.1365129
Felipe Salvador Caicedo Corozo,0.19490986,-0.016242152,-0.0320065,-0.34247792,-0.0045901304,0.1990642,0.0074484884,-0.044896383,-0.029200159,-0.0076296213,0.3067924,0.13222411,0.026443506,-0.2290714,-1.0218768,0.15119651
Fernando Damián Tissone,0.005037675,-0.0012192167,-0.021860922,0.30111358,0.024550384,-0.20893502,-0.0138027845,-0.033864114,-0.005759377,0.0604226,0.118513934,0.03273854,-6.252993e-05,-0.18367398,0.5417004,-0.46312296
